name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AWARAN,DISTRICT,15 &  ABOVE,DIVORCED,131,77,54,0,91,52,39,0,40,25,15,0
AWARAN,DISTRICT,15 &  ABOVE,MARRIED,62026,31200,30826,0,46721,23524,23197,0,15305,7676,7629,0
AWARAN,DISTRICT,15 &  ABOVE,NEVER MARRIED,26602,11270,15317,15,18144,7655,10477,12,8458,3615,4840,3
AWARAN,DISTRICT,15 &  ABOVE,SEPERATION,42,22,20,0,33,17,16,0,9,5,4,0
AWARAN,DISTRICT,15 &  ABOVE,WIDOWED,1838,1478,360,0,1258,1006,252,0,580,472,108,0
AWARAN,DISTRICT,15 - 19,DIVORCED,9,5,4,0,5,4,1,0,4,1,3,0
AWARAN,DISTRICT,15 - 19,MARRIED,2738,1832,906,0,2176,1449,727,0,562,383,179,0
AWARAN,DISTRICT,15 - 19,NEVER MARRIED,15083,6707,8372,4,10683,4767,5914,2,4400,1940,2458,2
AWARAN,DISTRICT,15 - 19,SEPERATION,2,1,1,0,1,0,1,0,1,1,0,0
AWARAN,DISTRICT,15 - 19,WIDOWED,14,6,8,0,8,3,5,0,6,3,3,0
AWARAN,DISTRICT,20 - 24,DIVORCED,18,15,3,0,11,10,1,0,7,5,2,0
AWARAN,DISTRICT,20 - 24,MARRIED,7132,4373,2759,0,5543,3412,2131,0,1589,961,628,0
AWARAN,DISTRICT,20 - 24,NEVER MARRIED,6325,2286,4038,1,4196,1499,2697,0,2129,787,1341,1
AWARAN,DISTRICT,20 - 24,SEPERATION,4,1,3,0,2,1,1,0,2,0,2,0
AWARAN,DISTRICT,20 - 24,WIDOWED,37,30,7,0,24,18,6,0,13,12,1,0
AWARAN,DISTRICT,25 - 29,DIVORCED,23,12,11,0,16,9,7,0,7,3,4,0
AWARAN,DISTRICT,25 - 29,MARRIED,9278,4649,4629,0,7075,3492,3583,0,2203,1157,1046,0
AWARAN,DISTRICT,25 - 29,NEVER MARRIED,2855,1287,1563,5,1797,788,1004,5,1058,499,559,0
AWARAN,DISTRICT,25 - 29,SEPERATION,5,3,2,0,4,2,2,0,1,1,0,0
AWARAN,DISTRICT,25 - 29,WIDOWED,46,29,17,0,36,22,14,0,10,7,3,0
AWARAN,DISTRICT,30 - 34,DIVORCED,26,13,13,0,18,7,11,0,8,6,2,0
AWARAN,DISTRICT,30 - 34,MARRIED,8276,4347,3929,0,6076,3219,2857,0,2200,1128,1072,0
AWARAN,DISTRICT,30 - 34,NEVER MARRIED,1157,506,647,4,706,303,399,4,451,203,248,0
AWARAN,DISTRICT,30 - 34,SEPERATION,3,1,2,0,2,1,1,0,1,0,1,0
AWARAN,DISTRICT,30 - 34,WIDOWED,82,57,25,0,62,43,19,0,20,14,6,0
AWARAN,DISTRICT,35 - 39,DIVORCED,13,6,7,0,9,5,4,0,4,1,3,0
AWARAN,DISTRICT,35 - 39,MARRIED,9062,4554,4508,0,6797,3408,3389,0,2265,1146,1119,0
AWARAN,DISTRICT,35 - 39,NEVER MARRIED,619,272,347,0,401,164,237,0,218,108,110,0
AWARAN,DISTRICT,35 - 39,SEPERATION,4,1,3,0,3,0,3,0,1,1,0,0
AWARAN,DISTRICT,35 - 39,WIDOWED,112,91,21,0,72,56,16,0,40,35,5,0
AWARAN,DISTRICT,40 - 44,DIVORCED,12,7,5,0,9,5,4,0,3,2,1,0
AWARAN,DISTRICT,40 - 44,MARRIED,7368,3681,3687,0,5395,2690,2705,0,1973,991,982,0
AWARAN,DISTRICT,40 - 44,NEVER MARRIED,289,93,195,1,180,55,124,1,109,38,71,0
AWARAN,DISTRICT,40 - 44,SEPERATION,6,4,2,0,4,2,2,0,2,2,0,0
AWARAN,DISTRICT,40 - 44,WIDOWED,121,97,24,0,81,65,16,0,40,32,8,0
AWARAN,DISTRICT,45 - 49,DIVORCED,5,4,1,0,4,3,1,0,1,1,0,0
AWARAN,DISTRICT,45 - 49,MARRIED,4960,2291,2669,0,3759,1756,2003,0,1201,535,666,0
AWARAN,DISTRICT,45 - 49,NEVER MARRIED,107,48,59,0,71,30,41,0,36,18,18,0
AWARAN,DISTRICT,45 - 49,SEPERATION,3,0,3,0,3,0,3,0,0,0,0,0
AWARAN,DISTRICT,45 - 49,WIDOWED,130,107,23,0,95,76,19,0,35,31,4,0
AWARAN,DISTRICT,50 - 54,DIVORCED,4,3,1,0,1,0,1,0,3,3,0,0
AWARAN,DISTRICT,50 - 54,MARRIED,4349,2007,2342,0,3302,1508,1794,0,1047,499,548,0
AWARAN,DISTRICT,50 - 54,NEVER MARRIED,74,30,44,0,45,19,26,0,29,11,18,0
AWARAN,DISTRICT,50 - 54,SEPERATION,5,3,2,0,4,3,1,0,1,0,1,0
AWARAN,DISTRICT,50 - 54,WIDOWED,198,172,26,0,146,129,17,0,52,43,9,0
AWARAN,DISTRICT,55 - 59,DIVORCED,11,5,6,0,9,3,6,0,2,2,0,0
AWARAN,DISTRICT,55 - 59,MARRIED,3025,1299,1726,0,2252,966,1286,0,773,333,440,0
AWARAN,DISTRICT,55 - 59,NEVER MARRIED,38,21,17,0,31,17,14,0,7,4,3,0
AWARAN,DISTRICT,55 - 59,SEPERATION,1,1,0,0,1,1,0,0,0,0,0,0
AWARAN,DISTRICT,55 - 59,WIDOWED,190,161,29,0,139,118,21,0,51,43,8,0
AWARAN,DISTRICT,60 - 64,DIVORCED,2,1,1,0,2,1,1,0,0,0,0,0
AWARAN,DISTRICT,60 - 64,MARRIED,2295,868,1427,0,1745,658,1087,0,550,210,340,0
AWARAN,DISTRICT,60 - 64,NEVER MARRIED,27,10,17,0,17,7,10,0,10,3,7,0
AWARAN,DISTRICT,60 - 64,SEPERATION,5,3,2,0,5,3,2,0,0,0,0,0
AWARAN,DISTRICT,60 - 64,WIDOWED,171,143,28,0,122,101,21,0,49,42,7,0
AWARAN,DISTRICT,65 - 69,DIVORCED,5,4,1,0,4,3,1,0,1,1,0,0
AWARAN,DISTRICT,65 - 69,MARRIED,1559,619,940,0,1151,464,687,0,408,155,253,0
AWARAN,DISTRICT,65 - 69,NEVER MARRIED,13,2,11,0,9,2,7,0,4,0,4,0
AWARAN,DISTRICT,65 - 69,SEPERATION,1,1,0,0,1,1,0,0,0,0,0,0
AWARAN,DISTRICT,65 - 69,WIDOWED,192,166,26,0,123,106,17,0,69,60,9,0
AWARAN,DISTRICT,70 - 74,DIVORCED,0,0,0,0,0,0,0,0,0,0,0,0
AWARAN,DISTRICT,70 - 74,MARRIED,1058,399,659,0,779,293,486,0,279,106,173,0
AWARAN,DISTRICT,70 - 74,NEVER MARRIED,9,5,4,0,4,2,2,0,5,3,2,0
AWARAN,DISTRICT,70 - 74,SEPERATION,2,2,0,0,2,2,0,0,0,0,0,0
AWARAN,DISTRICT,70 - 74,WIDOWED,258,199,59,0,169,133,36,0,89,66,23,0
AWARAN,DISTRICT,75 & ABOVE,DIVORCED,3,2,1,0,3,2,1,0,0,0,0,0
AWARAN,DISTRICT,75 & ABOVE,MARRIED,926,281,645,0,671,209,462,0,255,72,183,0
AWARAN,DISTRICT,75 & ABOVE,NEVER MARRIED,6,3,3,0,4,2,2,0,2,1,1,0
AWARAN,DISTRICT,75 & ABOVE,SEPERATION,1,1,0,0,1,1,0,0,0,0,0,0
AWARAN,DISTRICT,75 & ABOVE,WIDOWED,287,220,67,0,181,136,45,0,106,84,22,0
BALOCHISTAN,PROVINCE,15 &  ABOVE,DIVORCED,7755,4934,2821,0,5284,3342,1942,0,2471,1592,879,0
BALOCHISTAN,PROVINCE,15 &  ABOVE,MARRIED,4988160,2501307,2486853,0,3496967,1761199,1735768,0,1491193,740108,751085,0
BALOCHISTAN,PROVINCE,15 &  ABOVE,NEVER MARRIED,2181322,916026,1264623,673,1391808,575199,816223,386,789514,340827,448400,287
BALOCHISTAN,PROVINCE,15 &  ABOVE,SEPERATION,6024,2712,3312,0,4620,2088,2532,0,1404,624,780,0
